CREA-BA - Conselho Regional de Engenharia e Agronomia da Bahia,,,,,
SITAC - Sistema de Informações Técnicas e Administrativas do CREA-BA,,,,,
,,,,,
Relatório Gerencial:,RELATÓRIO GENÉRICO,,,,
Grupo:,RELATÓRIOS,,,,
Descrição:,,,,,
,,,,,
Data/Hora:,06/08/2025 às 16:08:18,,,,
Local:,SEDE - SALVADOR - CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA,,,,
,,,,,
NOME,CAMPUS,CNPJ,CÓDIGO MEC,CÓDIGO REGIONAL,TIPO DE CATEGORIA ACADÊMICA
20528 - CENTRO ESTADUAL DE EDUC. PROFISSIONAL DO VALE DO PARAGUAÇU,MARAGOGIPE,04166465000178,20528,,PÚBLICA
CENTRO ESTADUAL PROFISSIONAL DO VALE DO PARAGUAÇU,[TRANSFERIDO PARA OUTRO CONSELHO],04166465000178,,,
4233 - CENTRO EST DE EDUC PROF C P I NEWTON SUCUPIRA,[TRANSFERIDO PARA OUTRO CONSELHO],13937065000533,4233,,PÚBLICA
482602016 - CENTRO EST DE EDUC PROF EM AP EDUC E TEC DA INF ISAIAS ALVES,[TRANSFERIDO PARA OUTRO CONSELHO],02121071000178,482602016,,PÚBLICA
1 - CENTRO EST DE EDUC PROF.EM LOG.TRANSP. L PINTO DE CARVALHO,[TRANSFERIDO PARA OUTRO CONSELHO],00000000000000,1,,PÚBLICA
CENTRO EST DE EDUC.PROF EM PROCESSO E S. I. IRMÃ DULCE,IRMÃ DULCE,02033782000190,,,PÚBLICA
1 - CENTRO EST DE EDUC PROF. EM REC NAT DO NE BAIANO,[TRANSFERIDO PARA OUTRO CONSELHO],13937065000100,1,,PÚBLICA
1 - CENTRO EST DE EDUC PROF EM REC NAT DO NOR BAIANO,01,07097217000100,1,,PÚBLICA
0 - CENTRO EST DE EDUC PROF EM SAÚDE ANÍSIO TEIXEIRA,CEAT,13937065000100,0,,PÚBLICA
1 - CENTRO EST. DE EDUC PROF.REGIS PACHECO,[TRANSFERIDO PARA OUTRO CONSELHO],13893946000176,1,,PÚBLICA
1178254 - CENTRO EST. DE EDU. PROF. EM INFORMATICA  GEST. L. C.BATISTA,CÍCERO DANTAS,10906836000103,1178254,,PÚBLICA
CENTRO EST. EDUC. PROF. EM CONTR. DO NORD. BAIANO PEDRO RIBEIRO PESSOA,CATU,01933547000102,,,PÚBLICA
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DA BAHIA  - CEFET - SALVADOR,SALVADOR - BARBALHO,13941232000196,,,
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DA BAHIA - CEFET/UNED,VITÓRIA DA CONQUISTA,,,,
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DA BAHIA- CEFET - VALENÇA,VALENÇA,13941232000196,,,
CENTRO INTEGRADO DE EDUCACAO ANISIO TEIXEIRA,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO INTEGRADO DE EDUCACAO LUIZ TARQUINIO,SEM IDENTIFICAÇÃO,00000000000000,,,
